"Paper","Total Citations","TC per Year"
"D'ALESSANDRO D, 2002, SYST CONTROL LETT","10","0.5263"
"JRGENSEN AT, 2002, J COMP -AIDED MOL DES","10","0.5263"
"WANG JX, 2002, INT J MOL SCI","10","0.5263"
"ADAMATZKY A, 2000, INT J MOD PHYS C","10","0.4762"
"BASTIN T, 2000, COMPUT PHYS COMMUN","10","0.4762"
"VALDS-PREZ RE, 1994, COMPUT PHYS COMMUN","10","0.3704"
"RYABINKIN IG, 2019, J CHEM THEORY COMPUT","9","4.5000"
"XU S, 2018, NEURAL COMPUT APPL","9","3.0000"
"ZHOU L, 2018, J NETWORK COMPUT APPL","9","3.0000"
"OROZCO-GONZALEZ Y, 2017, J CHEM THEORY COMPUT","9","2.2500"
"GOLDBERG LA, 2017, COMPUT COMPLEX","9","2.2500"
"RODRGUEZ-FERNNDEZ R, 2017, COMPUT PHYS COMMUN","9","2.2500"
"VIGAN L, 2017, INF COMPUT","9","2.2500"
"LENNOX MJ, 2017, MOL SIMUL","9","2.2500"
"ZHANG M, 2017, IEEE SYST J","9","2.2500"
"CHEN PY, 2017, COMPUT PHYS COMMUN","9","2.2500"
"KUO SY, 2017, COMPUT NETWORKS","9","2.2500"
"SCHERER A, 2017, QUANTUM INF PROCESS","9","2.2500"
"PARK M, 2016, J NETWORK COMPUT APPL","9","1.8000"
"NAYAK PK, 2016, NEURAL COMPUT APPL","9","1.8000"
"BEN-ASHER A, 2016, J CHEM THEORY COMPUT","9","1.8000"
"KARAKAS A, 2016, OPT MATER","9","1.8000"
"CALUDE CS, 2016, NAT COMPUT","9","1.8000"
"FENG W, 2016, COMPUT MATER SCI","9","1.8000"
"MONFARED AT, 2016, J CIRCUITS SYST COMPUT","9","1.8000"
"BOTSINIS P, 2016, IEEE ACCESS-a","9","1.8000"
"WIEBE N, 2016, QUANTUM INF COMPUT-a","9","1.8000"
"TAN X, 2015, J AMBIENT INTELL HUMANIZED COMPUT","9","1.5000"
"HASTINGS MB, 2015, QUANTUM INF COMPUT","9","1.5000"
"LIN SM, 2015, QUANTUM INF PROCESS","9","1.5000"
"JIA P, 2015, INFORMATION","9","1.5000"
"GRUSKA J, 2015, INT J FOUND COMPUT SCI","9","1.5000"
"ZHAO X, 2015, INT J HIGH PERFORM COMPUT NETWORKING","9","1.5000"
"TAO P, 2014, J CHEM THEORY COMPUT","9","1.2857"
"MOHAMMADZADEH N, 2014, QUANTUM INF PROCESS","9","1.2857"
"JASIM OK, 2014, INT J GRID HIGH PERFORM COMPUT","9","1.2857"
"TANG S, 2014, FUTURE GENER COMPUT SYST","9","1.2857"
"CLEVE R, 2013, THEOR COMPUT SCI","9","1.1250"
"ILIYASU AM, 2013, INT J UNCON COMP","9","1.1250"
"GAO H, 2013, INT J MODEL IDENT CONTROL","9","1.1250"
"SUNDRIYAL V, 2013, J PARALLEL DISTRIB COMPUT","9","1.1250"
"FOWLER AG, 2012, QUANTUM INF COMPUT","9","1.0000"
"GAO H, 2012, INT J COMPUT APPL TECHNOL","9","1.0000"
"HAGHPARAST M, 2012, RES J APPL SCI ENG TECHNOL","9","1.0000"
"FOLMAN R, 2011, QUANTUM INF PROCESS","9","0.9000"
"HINDE RJ, 2011, COMPUT PHYS COMMUN","9","0.9000"
"DE VOS A, 2011, SYMMETRY","9","0.9000"
"CASALINI T, 2011, INT J MOL SCI","9","0.9000"
"YANG G, 2011, THEOR COMPUT SCI","9","0.9000"
"MOHAMMADZADEH N, 2011, QUANTUM INF PROCESS","9","0.9000"
"DEVITT SJ, 2011, PROG INFORMATICS","9","0.9000"
"XU B, 2010, J INF COMPUT SCI","9","0.8182"
"SINHA S, 2010, QUANTUM INF PROCESS","9","0.8182"
"CLEVE R, 2009, QUANTUM INF COMPUT","9","0.7500"
"LI R, 2009, QUANTUM INF COMPUT","9","0.7500"
"IMABEPPU T, 2008, ARTIF LIFE ROB","9","0.6923"
"MARQUEZINO FL, 2008, COMPUT PHYS COMMUN","9","0.6923"
"BOWEN G, 2008, IEEE TRANS INF THEORY","9","0.6923"
"AMBAINIS A, 2007, THEOR COMPUT SCI","9","0.6429"
"DANOS V, 2007, ELECTRON NOTES THEOR COMPUT SCI","9","0.6429"
"POIRIER B, 2007, J THEOR COMPUT CHEM","9","0.6429"
"AMBAINIS A, 2006, J ACM","9","0.6000"
"SAFOUHI H, 2006, J MOL MODEL","9","0.6000"
"OJHA DP, 2006, J MOL MODEL","9","0.6000"
"NAKAJIMA Y, 2006, QUANTUM INF COMPUT","9","0.6000"
"ERYIIT R, 2004, INT J MOD PHYS C","9","0.5294"
"MATSUEDA H, 2003, INT J CIRCUIT THEORY APPL","9","0.5000"
"HAUBEIN NC, 2003, J CHEM INF COMPUT SCI","9","0.5000"
"JNSSON P, 2002, COMPUT PHYS COMMUN","9","0.4737"
"STEEB WH, 2000, INT J MOD PHYS C","9","0.4286"
"CLEMENTI E, 2000, IBM J RES DEV","9","0.4286"
"DRR C, 1997, RANDOM STRUCT ALGORITHMS","9","0.3750"
"IMANY P, 2019, NPJ QUANTUM INF","8","4.0000"
"DASH S, 2019, J BIG DATA","8","4.0000"
"KALANTRE SS, 2019, NPJ QUANTUM INF","8","4.0000"
"KLEILER F, 2018, NPJ QUANTUM INF","8","2.6667"
"PENG C, 2018, J CHEM THEORY COMPUT","8","2.6667"
"PANAHI MM, 2018, INTEGR VLSI J","8","2.6667"
"DEGREGORIO N, 2018, J CHEM THEORY COMPUT","8","2.6667"
"MCCASKEY AJ, 2018, SOFTWAREX","8","2.6667"
"GUPTA S, 2017, APPL SOFT COMPUT J","8","2.0000"
"RABINDRA B, 2017, INT J AGRIC ENVIRON INF SYST","8","2.0000"
"BOTSINIS P, 2017, IEEE ACCESS","8","2.0000"
"HAMILTON KE, 2017, QUANTUM INF PROCESS","8","2.0000"
"RYU H, 2016, COMPUT PHYS COMMUN","8","1.6000"
"VALINATAJ M, 2016, COMPUT ELECTR ENG","8","1.6000"
"BAYDIN A, 2016, APL PHOTONICS","8","1.6000"
"CORTOPASSI WA, 2016, J MOL GRAPH MODEL","8","1.6000"
"TERRACINA JJ, 2016, J MOL MODEL","8","1.6000"
"ZAFAR A, 2016, MOL INFORMATICS","8","1.6000"
"HADDAR B, 2016, NAT COMPUT","8","1.6000"
"BHASKAR MK, 2016, QUANTUM INF COMPUT","8","1.6000"
"WERBOS PJ, 2016, QUANTUM INF PROCESS","8","1.6000"
"ALANIS D, 2016, IEEE ACCESS","8","1.6000"
"KARAFYLLIDIS IG, 2015, J COMPUT SCI","8","1.3333"
"GAO H, 2015, J SYST ENG ELECTRON","8","1.3333"
"KRISHTAL I, 2015, FOUND COMPUT MATH","8","1.3333"
"GARCIA HJ, 2015, IEEE TRANS COMPUT","8","1.3333"
"HAST H, 2015, IEEE TRANS NANOTECHNOL","8","1.3333"
"BUSCHING F, 2015, IEEE INTERNET THINGS J","8","1.3333"
"GIANNAKIS K, 2015, COMPUTATION","8","1.3333"
"TREFETHEN LN, 2015, COMMUN ACM","8","1.3333"
"ZHANG Y, 2015, INT J HIGH PERFORM COMPUT NETWORKING","8","1.3333"
"BEHRMAN EC, 2014, IEEE TRANS NEURAL NETWORKS LEARN SYS","8","1.1429"
"YU NY, 2014, DES CODES CRYPTOGRAPHY","8","1.1429"
"FRIEDL K, 2014, SIAM J COMPUT","8","1.1429"
"DUPUIS F, 2014, IEEE TRANS INF THEORY","8","1.1429"
"ARUN M, 2013, INT J INTELLIGENT ENG SYST","8","1.0000"
"LIU Y, 2013, J CHEM THEORY COMPUT","8","1.0000"
"GODSIL C, 2013, J COMB THEORY SER A","8","1.0000"
"YOU H, 2012, QUANTUM INF PROCESS","8","0.8889"
"SUN XX, 2012, J MOL GRAPH MODEL","8","0.8889"
"SGRIGNANI J, 2012, J COMP -AIDED MOL DES","8","0.8889"
"LI B, 2012, IEEE TRANS SYST MAN CYBERN PT C APPL REV","8","0.8889"
"JACOBSON LD, 2011, J CHEM THEORY COMPUT","8","0.8000"
"GAO S, 2011, J COMPUT INF SYST","8","0.8000"
"SHAUL KRS, 2010, MOL SIMUL","8","0.7273"
"MONTANARO A, 2010, INF PROCESS LETT","8","0.7273"
"MARDIRIS VA, 2010, J CIRCUITS SYST COMPUT","8","0.7273"
"LUISIER M, 2010, PARALLEL COMPUT","8","0.7273"
"RADTKE T, 2010, COMPUT PHYS COMMUN","8","0.7273"
"RINNAN, 2010, J COMP -AIDED MOL DES","8","0.7273"
"HOU H, 2009, J MOL MODEL","8","0.6667"
"IBRAHIM KZ, 2008, J PARALLEL DISTRIB COMPUT","8","0.6154"
"AL-RABADI AN, 2008, J CIRCUITS SYST COMPUT","8","0.6154"
"IVANYOS G, 2008, QUANTUM INF COMPUT","8","0.6154"
"COCKSHOTT P, 2008, THEOR COMPUT SCI","8","0.6154"
"HELLINCKX P, 2007, INT J WEB GRID SERV","8","0.5714"
"LI R, 2007, QUANTUM INF COMPUT","8","0.5714"
"KAYE P, 2007, QUANTUM INF PROCESS","8","0.5714"
"KASHEFI E, 2007, THEOR COMPUT SCI","8","0.5714"
"NIU J, 2007, J MOL MODEL","8","0.5714"
"DEVITT SJ, 2006, QUANTUM INF COMPUT","8","0.5333"
"HAGAR A, 2006, MINDS MACH","8","0.5333"
"KANAMORI Y, 2006, INT J COMPUT APPL","8","0.5333"
"KAYE PR, 2005, QUANTUM INF COMPUT","8","0.5000"
"DOWLING JP, 2004, QUANTUM INF PROCESS","8","0.4706"
"MOHANKUMAR N, 2004, COMPUT PHYS COMMUN","8","0.4706"
"GUSEINOV I, 2004, J MOL MODEL","8","0.4706"
"WGRZYN S, 2004, BULL POL ACAD SCI TECH SCI","8","0.4706"
"BANDYOPADHYAY S, 2002, SMART MATER STRUCT","8","0.4211"
"VASHISHTA P, 1994, COMPUT MATER SCI","8","0.2963"
"COOPER MD, 1991, J COMPUTER-AIDED MOL DES","8","0.2667"
"ANDERSEN CK, 2019, NPJ QUANTUM INF","7","3.5000"
"BOROWKA S, 2019, COMPUT PHYS COMMUN","7","3.5000"
"VAN DIJK JPG, 2019, MICROPROCESSORS MICROSYST","7","3.5000"
"WANG X, 2019, IEEE TRANS INF THEORY","7","3.5000"
"KOROGLU ME, 2019, QUANTUM INF PROCESS","7","3.5000"
"ZHOU Z, 2019, IEEE TRANS INF THEORY","7","3.5000"
"LI HS, 2018, QUANTUM INF PROCESS","7","2.3333"
"PARK M, 2018, NPJ COMPUTATIONAL MATER","7","2.3333"
"CHE M, 2018, NEUROCOMPUTING","7","2.3333"
"XIA W, 2018, CHINA COMMUN","7","2.3333"
"ZHANG X, 2018, WIRELESS PERS COMMUN","7","2.3333"
"FU X, 2018, IEEE MICRO","7","2.3333"
"CHUDASAMA A, 2018, COMPUT ELECTR ENG","7","2.3333"
"LI Z, 2017, J COMPUT PHYS","7","1.7500"
"AURENTZ JL, 2017, COMPUT PHYS COMMUN","7","1.7500"
"GAO H, 2017, KSII TRANS INTERNET INF SYST","7","1.7500"
"SINGH KV, 2017, CONCURR COMPUT","7","1.7500"
"BILAL B, 2017, INT J INTELL SYST APPL","7","1.7500"
"PICCININI E, 2017, COMPUT PHYS COMMUN","7","1.7500"
"SANTOS RF, 2017, J MOL MODEL","7","1.7500"
"TAJWAR MM, 2017, J INF PROCESS SYST","7","1.7500"
"GIL A, 2017, COMPUT PHYS COMMUN","7","1.7500"
"MAZIERO J, 2017, INT J MOD PHYS C","7","1.7500"
"WANG F, 2016, SCI CHINA INF SCI","7","1.4000"
"LI P, 2016, QUANTUM INF PROCESS","7","1.4000"
"LI Y, 2016, NEUROCOMPUTING","7","1.4000"
"SHUKLA A, 2016, MOL SIMUL","7","1.4000"
"YAN F, 2016, SCI CHINA INF SCI","7","1.4000"
"DA SILVA AJ, 2016, NEUROCOMPUTING","7","1.4000"
"DUNJKO V, 2016, QUANTUM INF COMPUT","7","1.4000"
"MARDIRIS VA, 2015, IEEE TRANS COMPUT","7","1.1667"
"KO DT, 2015, CHEMOMETR INTELLIGENT LAB SYST","7","1.1667"
"PARRA-MURILLO CA, 2015, COMPUT PHYS COMMUN","7","1.1667"
"ZHANG G, 2015, INT J HIGH PERFORM COMPUT NETWORKING","7","1.1667"
"GAO H, 2015, INT J COMPUT SCI MATH","7","1.1667"
"LI L, 2015, J COMPUT SYST SCI","7","1.1667"
"AMBAINIS A, 2015, QUANTUM INF COMPUT","7","1.1667"
"ZHOU R, 2014, ARTIF INTELL REV","7","1.0000"
"JIANG H, 2014, J COMPUT PHYS","7","1.0000"
"PANG Y, 2014, CIRC SYST SIGNAL PROCESS","7","1.0000"
"CHILDS AM, 2014, J MATH CRYPTOLOGY","7","1.0000"
"DE VOS A, 2014, ACM J EMERG TECHNOLOGIES COMPUT SYST","7","1.0000"
"GUSEV AA, 2014, COMPUT PHYS COMMUN","7","1.0000"
"MOUSA AA, 2014, APPL MAT INF SCI","7","1.0000"
"SHOAEI S, 2014, QUANTUM INF PROCESS","7","1.0000"
"BELOVS A, 2014, COMPUT COMPLEX","7","1.0000"
"LIU Y, 2014, J MOL MODEL","7","1.0000"
"OBST O, 2013, NANO COMMUN NETW","7","0.8750"
"MA Y, 2013, MOSHI SHIBIE YU RENGONG ZHINENG","7","0.8750"
"AMENTO B, 2013, QUANTUM INF COMPUT","7","0.8750"
"GAO H, 2013, INT J COMPUT APPL TECHNOL","7","0.8750"
"HOPFER M, 2013, COMPUT PHYS COMMUN","7","0.8750"
"JOCHYM-O'CONNOR T, 2013, QUANTUM INF COMPUT","7","0.8750"
"GERHARD J, 2013, COMPUT PHYS COMMUN","7","0.8750"
"KUMAR P, 2013, QUANTUM INF PROCESS","7","0.8750"
"GRECO JA, 2012, INT J UNCON COMP","7","0.7778"
"ELIAS S, 2012, J UNIVERS COMPUT SCI","7","0.7778"
"XIAN Y, 2012, J INF COMPUT SCI","7","0.7778"
"AARONSON S, 2012, COMMUN ACM","7","0.7778"
"HIRVENSALO M, 2012, THEOR COMPUT SCI","7","0.7778"
"DAVIDSON T, 2012, INT J UNCON COMP","7","0.7778"
"ORTNER M, 2011, QUANTUM INF PROCESS","7","0.7000"
"WANG S, 2011, COMPUT MATH APPL","7","0.7000"
"LAKSHMI SK, 2011, J COMPUT SCI","7","0.7000"
"LIVERTS EZ, 2011, COMPUT PHYS COMMUN","7","0.7000"
"LIU N, 2011, INT J COMPUT SCI ENG","7","0.7000"
"LIN CS, 2011, J COMPUT SCI TECHNOL","7","0.7000"
"NEDJAH N, 2010, INT J INNOV COMPUT INF CONTROL","7","0.6364"
"GAWRON P, 2010, BULL POL ACAD SCI TECH SCI","7","0.6364"
"PISTOL C, 2010, IEEE MICRO","7","0.6364"
"AL-RABADI AN, 2009, INT J INTELL COMP CYBERN","7","0.5833"
"LU X, 2009, IEEE TRANS NANOTECHNOL","7","0.5833"
"WU N, 2009, JISUANJI XUEBAO","7","0.5833"
"BEHZADI S, 2008, J MOL GRAPH MODEL","7","0.5385"
"ZHENG C, 2007, INT J WEB GRID SERV","7","0.5000"
"PENFOLD TJ, 2007, J MOL GRAPH MODEL","7","0.5000"
"TURNER R, 2007, MINDS MACH","7","0.5000"
"LEPORATI A, 2007, THEOR COMPUT SCI","7","0.5000"
"NAGY M, 2007, INT J PARALLEL EMERGENT DISTRIB SYST","7","0.5000"
"BONNAILLIE-NOL V, 2006, J COMPUT PHYS","7","0.4667"
"FIDELMAN U, 2005, KYBERNETES","7","0.4375"
"KLAPPENECKER A, 2003, INT J FOUND COMPUT SCI","7","0.3889"
"MEIJER AJHM, 2001, COMPUT PHYS COMMUN","7","0.3500"
"PECH J, 1997, COMPUT PHYS COMMUN","7","0.2917"
"KRONFELD AS, 1988, COMPUT PHYS COMMUN","7","0.2121"
"WU Y, 2019, NPJ QUANTUM INF","6","3.0000"
"WANG Y, 2019, NPJ QUANTUM INF","6","3.0000"
"FRANKE DP, 2019, MICROPROCESSORS MICROSYST","6","3.0000"
"KAHL EV, 2019, COMPUT PHYS COMMUN","6","3.0000"
"DE RAEDT H, 2019, COMPUT PHYS COMMUN","6","3.0000"
"MONTANARO A, 2019, THEORY COMPUT","6","3.0000"
"BRAVYI S, 2018, NPJ QUANTUM INF","6","2.0000"
"CAO Y, 2018, IBM J RES DEV","6","2.0000"
"HEUSER T, 2018, APL PHOTONICS","6","2.0000"
"GANJEFAR S, 2018, NEUROCOMPUTING","6","2.0000"
"GOODRICH TD, 2018, QUANTUM INF PROCESS","6","2.0000"
"RASOOL N, 2018, J MOL GRAPH MODEL","6","2.0000"
"TICOZZI F, 2018, IEEE TRANS AUTOM CONTROL","6","2.0000"
"LIU Z, 2018, J CHEM INF MODEL","6","2.0000"
"ZHU H, 2018, WIRELESS COMMUN MOBILE COMPUT","6","2.0000"
"HOWARD JC, 2017, J CHEM THEORY COMPUT","6","1.5000"
"ANDERSON NG, 2017, INF SCI","6","1.5000"
"KAUSHIK AC, 2017, NEURAL COMPUT APPL","6","1.5000"
"GAO H, 2017, INT J COMPUT SCI MATH","6","1.5000"
"AKIBUE S, 2016, IEEE TRANS INF THEORY","6","1.2000"
"MONTANARO A, 2016, QUANTUM INF COMPUT","6","1.2000"
"RUAN Y, 2016, QUANTUM INF PROCESS","6","1.2000"
"WANG C, 2016, QUANTUM INF PROCESS","6","1.2000"
"CIARAMELLA G, 2016, NUMER FUNCT ANAL OPTIM","6","1.2000"
"SIKORSKA C, 2016, CHEMOMETR INTELLIGENT LAB SYST","6","1.2000"
"LIU JH, 2016, JISUANJI XUEBAO","6","1.2000"
"CIARAMELLA G, 2016, COMPUT PHYS COMMUN","6","1.2000"
"YAN F, 2016, J ADV COMPUT INTELL INTELLIGENT INFORMATICS","6","1.2000"
"CARICATO M, 2015, J CHEM THEORY COMPUT","6","1.0000"
"NIA MA, 2015, SECUR COMMUN NETWORKS","6","1.0000"
"CAUSAPRUNO G, 2015, IEEE TRANS COMPUT","6","1.0000"
"YI H, 2015, INT J SECUR APPL","6","1.0000"
"DEIBUK V, 2015, ADV ELEC COMP ENG","6","1.0000"
"ZHANG G, 2015, INT J COMPUT COMMUN CONTROL","6","1.0000"
"BROD DJ, 2014, QUANTUM INF COMPUT","6","0.8571"
"NEMES C, 2014, COMPUT PHYS COMMUN","6","0.8571"
"DING W, 2014, JISUANJI YANJIU YU FAZHAN","6","0.8571"
"YAZDANI M, 2013, QUANTUM INF PROCESS","6","0.7500"
"LEE T, 2013, COMPUT COMPLEX","6","0.7500"
"RAFFAH BM, 2013, COMPUT PHYS COMMUN","6","0.7500"
"PACIFICI L, 2013, COMPUT PHYS COMMUN","6","0.7500"
"QANBARI M, 2013, J ENG","6","0.7500"
"HUANG S, 2012, INT J COMPUT INTELL APPL","6","0.6667"
"DASTAN F, 2012, RES J APPL SCI ENG TECHNOL","6","0.6667"
"KUMAR P, 2011, QUANTUM INF COMPUT","6","0.6000"
"SLAWINSKA M, 2011, COMPUT PHYS COMMUN","6","0.6000"
"KANE DM, 2011, QUANTUM INF COMPUT","6","0.6000"
"LIU Y, 2010, EUR J OPER RES","6","0.5455"
"LEE H, 2010, IEEE TRANS COMPUT","6","0.5455"
"ZHANG F, 2010, JISUANJI FUZHU SHEJI YU TUXINGXUE XUEBAO","6","0.5455"
"BEN-AROYA A, 2010, QUANTUM INF COMPUT","6","0.5455"
"AL-RABADI AN, 2009, INT J INTELL COMP CYBERN-a","6","0.5000"
"JAIN R, 2009, THEOR COMPUT SCI","6","0.5000"
"DE ALEXIS V, 2008, INT J UNCON COMP","6","0.4615"
"FURROW B, 2008, QUANTUM INF COMPUT","6","0.4615"
"RESCONI G, 2008, APPL SOFT COMPUT J","6","0.4615"
"BACON D, 2008, QUANTUM INF COMPUT","6","0.4615"
"GUNASEKARAN S, 2008, J MOL MODEL","6","0.4615"
"MAJUMDER DKD, 2007, KYBERNETES","6","0.4286"
"KOIRAN P, 2007, THEOR COMPUT SCI","6","0.4286"
"ACEBRN JA, 2007, J SUPERCOMPUT","6","0.4286"
"NAGARAJAN R, 2007, ELECTRON NOTES THEOR COMPUT SCI","6","0.4286"
"DUAN RY, 2006, J COMPUT SCI TECHNOL","6","0.4000"
"SAPSE AM, 2006, J MOL MODEL","6","0.4000"
"WYPYCHOWSKI J, 2004, NEW GENER COMPUT","6","0.3529"
"YAN SY, 2003, INT J COMPUT MATH","6","0.3333"
"FORCER TM, 2002, QUANTUM INF COMPUT","6","0.3158"
"FOWLER PW, 2001, J MOL GRAPH MODEL","6","0.3000"
"HUGHES RJ, 2000, IEEE INTELL SYST THEIR APPL","6","0.2857"
"STEEB WH, 2000, INT J MOD PHYS C-a","6","0.2857"
"KRISHNAMURTHY EV, 1998, INT J MOD PHYS C","6","0.2609"
"ABRASHKEVICH AG, 1994, COMPUT PHYS COMMUN","6","0.2222"
"CASAA-ESLAVA RV, 2017, NEUROCOMPUTING","6","1.5000"
"ALKALDY E, 2020, INDONES J ELECTRICAL ENG COMPUT SCI","5","5.0000"
"CALAFELL IA, 2019, NPJ QUANTUM INF","5","2.5000"
"MILLER A, 2019, J BIG DATA","5","2.5000"
"YANG C, 2019, CLUSTER COMPUT","5","2.5000"
"POURALIAKBAR E, 2019, THEOR COMPUT SCI","5","2.5000"
"CHAUDHARY R, 2019, IEEE INTERNET THINGS J","5","2.5000"
"MANUKIAN H, 2019, NEURAL NETW","5","2.5000"
"MALONE FD, 2019, J CHEM THEORY COMPUT","5","2.5000"
"WANG J, 2018, EXPERT SYST","5","1.6667"
"CHATTERJEE O, 2018, IEEE TRANS NEURAL NETWORKS LEARN SYS","5","1.6667"
"TRANTER A, 2018, J CHEM THEORY COMPUT","5","1.6667"
"STEIJL R, 2018, COMPUT FLUIDS","5","1.6667"
"LUO Z, 2018, J CHEM THEORY COMPUT","5","1.6667"
"ZHOU J, 2018, ENG OPTIM","5","1.6667"
"MOON J, 2018, COMPUT ELECTR ENG","5","1.6667"
"ZHANG WR, 2018, IEEE TRANS FUZZY SYST","5","1.6667"
"HONGYUAN G, 2018, J SYST ENG ELECTRON","5","1.6667"
"WANG Y, 2018, CHINA COMMUN","5","1.6667"
"LOU J, 2018, J NETWORK COMPUT APPL","5","1.6667"
"KIM S, 2018, SECUR COMMUN NETWORKS","5","1.6667"
"ALAM T, 2018, J SYST SOFTWARE","5","1.6667"
"SIVERNS JD, 2017, QUANTUM INF PROCESS","5","1.2500"
"MIRHOSSEINI M, 2017, SUSTAINABLE COMPUTING: INFORMATICS AND SYSTEMS","5","1.2500"
"CALUDE CS, 2017, THEOR COMPUT SCI","5","1.2500"
"MA Y, 2017, KNOWL BASED SYST","5","1.2500"
"ANTOINE X, 2017, COMPUT PHYS COMMUN","5","1.2500"
"BARANI F, 2017, APPL SOFT COMPUT J","5","1.2500"
"VALINATAJ M, 2017, J SUPERCOMPUT","5","1.2500"
"BOTSINIS P, 2017, IEEE ACCESS-a","5","1.2500"
"DE PAULA NETO FM, 2017, NEUROCOMPUTING","5","1.2500"
"MASUYAMA N, 2017, NEURAL COMPUT APPL","5","1.2500"
"ZHENG S, 2017, THEOR COMPUT SCI","5","1.2500"
"LEE T, 2017, ALGORITHMICA","5","1.2500"
"MIRHOSSEINI M, 2017, J NETWORK COMPUT APPL","5","1.2500"
"PENG Z, 2017, IEEE ACCESS","5","1.2500"
"XUE RJ, 2017, J CHEM THEORY COMPUT","5","1.2500"
"DE MOTTE D, 2016, QUANTUM INF PROCESS","5","1.0000"
"KUMARI AC, 2016, INF SOFTWARE TECHNOL","5","1.0000"
"LIU J, 2016, NAT COMPUT","5","1.0000"
"LAPPA M, 2016, J COMPUT PHYS","5","1.0000"
"LIU Z, 2016, J CHEM INF MODEL","5","1.0000"
"LIU G, 2016, NEURAL COMPUT APPL","5","1.0000"
"DE PAULA NETO FM, 2016, NEUROCOMPUTING","5","1.0000"
"MAZIERO J, 2016, FRONT ICT","5","1.0000"
"BOLHASSANI A, 2016, INT J INNOVATIVE COMPUT APPL","5","1.0000"
"PANDEY SC, 2016, SOFT COMPUT","5","1.0000"
"CABAN P, 2015, QUANTUM INF PROCESS","5","0.8333"
"GISLASON-LEE AJ, 2015, J ELECTRON IMAGING","5","0.8333"
"MORET-BONILLO V, 2015, PROG ARTIF INTELL","5","0.8333"
"TAN S, 2015, JISUANJI YANJIU YU FAZHAN","5","0.8333"
"HOSSEININIA N, 2015, J CIRCUITS SYST COMPUT","5","0.8333"
"BUHARI AM, 2015, J ELECTRON IMAGING","5","0.8333"
"DAMGRD I, 2014, NAT COMPUT","5","0.7143"
"TAKAHASHI Y, 2014, QUANTUM INF COMPUT","5","0.7143"
"MURUGESAN P, 2014, J COMPUT SCI","5","0.7143"
"LARA PCS, 2014, J OF GLOBAL OPTIM","5","0.7143"
"SCHIMECZEK C, 2014, COMPUT PHYS COMMUN","5","0.7143"
"RODRIGUES W, 2014, COMPUT PHYS COMMUN","5","0.7143"
"LU X, 2013, COMPUT PHYS COMMUN","5","0.6250"
"KABIR M, 2013, IEEE TRANS NANOTECHNOL","5","0.6250"
"PEI SC, 2013, IEEE TRANS SIGNAL PROCESS","5","0.6250"
"MATTHEAKIS PM, 2013, TRANS ARCHIT CODE OPTIM","5","0.6250"
"KAK S, 2012, INFOCOMMUNICATIONS J","5","0.5556"
"IWAMA K, 2012, THEOR COMPUT SCI","5","0.5556"
"HUANG Y, 2012, J NETW","5","0.5556"
"WANG C, 2012, SCI CHINA INF SCI","5","0.5556"
"YU Z, 2012, ADV INF SCI SERV SCI","5","0.5556"
"STCKINGER D, 2012, COMPUT PHYS COMMUN","5","0.5556"
"TARRATACA L, 2011, COGNITIVE COMPUT","5","0.5000"
"SRIVASTAVA DP, 2011, INT J GEN SYST","5","0.5000"
"BERRY SD, 2011, COMPUT PHYS COMMUN","5","0.5000"
"TABAKIN F, 2011, COMPUT PHYS COMMUN","5","0.5000"
"GUSEINOV II, 2011, J MOL MODEL","5","0.5000"
"YAN K, 2011, PROG INFORMATICS","5","0.5000"
"WIELGOSZ M, 2010, COMPUT INF","5","0.4545"
"RAY KS, 2010, INT J INTELL COMP CYBERN","5","0.4545"
"YOUNES A, 2010, J CIRCUITS SYST COMPUT","5","0.4545"
"LAYEB A, 2010, INT J COGN INF NAT INTELL","5","0.4545"
"YANG X, 2010, IEEE TRANS SYST MAN CYBERN PT C APPL REV","5","0.4545"
"SHERSTOV AA, 2010, QUANTUM INF COMPUT","5","0.4545"
"FITZSIMONS J, 2009, ELECTRON NOTES THEOR COMPUT SCI","5","0.4167"
"STEPNEY S, 2009, INT J UNCON COMP","5","0.4167"
"REDDY MR, 2009, J COMP -AIDED MOL DES","5","0.4167"
"ALAM SR, 2008, PARALLEL COMPUT","5","0.3846"
"BHANJA S, 2008, IEEE TRANS VERY LARGE SCALE INTEGR VLSI SYST","5","0.3846"
"ZHANG B, 2008, INF SCI","5","0.3846"
"METODI TS, 2008, ACM J EMERG TECHNOLOGIES COMPUT SYST","5","0.3846"
"KLAUCK H, 2007, SIAM J COMPUT","5","0.3571"
"LITVINTSEVA LV, 2007, J COMPUT SYST SCI INT","5","0.3571"
"SWEREDOSKI MJ, 2007, BIOINFORMATICS","5","0.3571"
"HAGAR A, 2007, MINDS MACH","5","0.3571"
"BENATTI F, 2007, NAT COMPUT","5","0.3571"
"HALL W, 2007, QUANTUM INF COMPUT","5","0.3571"
"LIU JL, 2006, COMPUT PHYS COMMUN","5","0.3333"
"VON WINCKEL G, 2006, MATH COMPUT MODEL","5","0.3333"
"MUSHA T, 2006, INT J SIMUL PROCESS MODEL","5","0.3333"
"CURC D, 2006, J COMP -AIDED MOL DES","5","0.3333"
"GUSEINOV I, 2004, MATCH","5","0.2941"
"ALVAREZ FP, 2004, NEUROCOMPUTING","5","0.2941"
"AARONSON S, 2003, SIAM J COMPUT","5","0.2778"
